accession_without_version	reject_reason
NZ_CP028935	5S, 16S, and 23S from Ligilactobacillus saerimneri -- that is all the plasmid
NZ_CP028933	From the same genome as NZ_CP028935.
NZ_CP028934	From the same genome as NZ_CP028935.
NZ_CP091243	Extremely poor assembly quality.
NZ_CP078512	This is not a Stutzerimonas stutzeri plasmid -- it is a Bacillus chromosome part! Extremely poor assembly quality.
NZ_CP078509	From the same genome as NZ_CP078512.
NZ_CP078510	From the same genome as NZ_CP078512.
NZ_CP078511	From the same genome as NZ_CP078512.
NZ_CP083673.1	No 16S rRNA genes
NZ_CP109848.1	No 16S rRNA genes
NZ_CP109653.1	No 16S rRNA genes
NZ_CP107092.1	No 16S rRNA genes
NZ_CP107091.1	No 16S rRNA genes
NZ_CP107096.1	No 16S rRNA genes
NZ_CP107095.1	No 16S rRNA genes
NZ_CP107107.1	No 16S rRNA genes
NZ_CP107106.1	No 16S rRNA genes
NZ_CP107105.1	No 16S rRNA genes
NZ_CP107087.1	No 16S rRNA genes
NZ_CP107086.1	No 16S rRNA genes
NZ_CP107085.1	No 16S rRNA genes
NZ_CP107101.1	No 16S rRNA genes
NZ_CP107100.1	No 16S rRNA genes
NZ_CP107094.1	No 16S rRNA genes
NZ_CP107093.1	No 16S rRNA genes
NZ_CP107099.1	No 16S rRNA genes
NZ_CP107090.1	No 16S rRNA genes
NZ_CP107089.1	No 16S rRNA genes
NZ_CP107088.1	No 16S rRNA genes
NZ_CP107098.1	No 16S rRNA genes
NZ_CP107097.1	No 16S rRNA genes
NZ_CP107081.1	No 16S rRNA genes
NZ_CP107080.1	No 16S rRNA genes
NZ_CP107104.1	No 16S rRNA genes
NZ_CP107103.1	No 16S rRNA genes
NZ_CP107102.1	No 16S rRNA genes
NZ_CP107084.1	No 16S rRNA genes
NZ_CP107083.1	No 16S rRNA genes
NZ_CP107082.1	No 16S rRNA genes
NZ_CP054397.1	No 16S rRNA genes
NZ_CP054396.1	No 16S rRNA genes
NZ_CP093845.1	No 16S rRNA genes
NZ_CP101193.1	No 16S rRNA genes
NZ_CP101194.1	No 16S rRNA genes
NZ_CP101195.1	No 16S rRNA genes
NZ_CP101196.1	No 16S rRNA genes
NZ_LR963141.1	No 16S rRNA genes
NZ_LR963140.1	No 16S rRNA genes
NZ_LR963139.1	No 16S rRNA genes
NZ_LR963138.1	No 16S rRNA genes
NZ_LR963103.1	No 16S rRNA genes
NZ_LR963102.1	No 16S rRNA genes
NZ_LR963101.1	No 16S rRNA genes
NZ_LR963100.1	No 16S rRNA genes
NZ_LR963099.1	No 16S rRNA genes
NZ_LR963093.1	No 16S rRNA genes
NZ_LR963092.1	No 16S rRNA genes
NZ_LR963091.1	No 16S rRNA genes
NZ_LR963090.1	No 16S rRNA genes
NZ_LR963089.1	No 16S rRNA genes
NZ_LR963106.1	No 16S rRNA genes
NZ_LR963105.1	No 16S rRNA genes
NZ_LR963104.1	No 16S rRNA genes
NZ_LR963137.1	No 16S rRNA genes
NZ_LR963136.1	No 16S rRNA genes
NZ_LR963135.1	No 16S rRNA genes
NZ_LR963128.1	No 16S rRNA genes
NZ_LR963127.1	No 16S rRNA genes
NZ_LR963116.1	No 16S rRNA genes
NZ_LR963115.1	No 16S rRNA genes
NZ_LR963114.1	No 16S rRNA genes
NZ_LR963113.1	No 16S rRNA genes
NZ_LR963112.1	No 16S rRNA genes
NZ_LR963126.1	No 16S rRNA genes
NZ_LR963125.1	No 16S rRNA genes
NZ_LR963124.1	No 16S rRNA genes
NZ_LR963123.1	No 16S rRNA genes
NZ_LR963122.1	No 16S rRNA genes
NZ_LR963131.1	No 16S rRNA genes
NZ_LR963130.1	No 16S rRNA genes
NZ_LR963129.1	No 16S rRNA genes
NZ_LR963083.1	No 16S rRNA genes
NZ_LR963082.1	No 16S rRNA genes
NZ_LR963081.1	No 16S rRNA genes
NZ_LR963080.1	No 16S rRNA genes
NZ_LR963079.1	No 16S rRNA genes
NZ_LR963134.1	No 16S rRNA genes
NZ_LR963133.1	No 16S rRNA genes
NZ_LR963132.1	No 16S rRNA genes
NZ_LR963111.1	No 16S rRNA genes
NZ_LR963110.1	No 16S rRNA genes
NZ_LR963109.1	No 16S rRNA genes
NZ_LR963108.1	No 16S rRNA genes
NZ_LR963107.1	No 16S rRNA genes
NZ_LR963121.1	No 16S rRNA genes
NZ_LR963120.1	No 16S rRNA genes
NZ_LR963119.1	No 16S rRNA genes
NZ_LR963118.1	No 16S rRNA genes
NZ_LR963117.1	No 16S rRNA genes
NZ_LR963098.1	No 16S rRNA genes
NZ_LR963097.1	No 16S rRNA genes
NZ_LR963096.1	No 16S rRNA genes
NZ_LR963095.1	No 16S rRNA genes
NZ_LR963094.1	No 16S rRNA genes
NZ_LR963088.1	No 16S rRNA genes
NZ_LR963087.1	No 16S rRNA genes
NZ_LR963086.1	No 16S rRNA genes
NZ_LR963085.1	No 16S rRNA genes
NZ_LR963084.1	No 16S rRNA genes
NZ_CP100129.1	No 16S rRNA genes
NZ_OU906733.1	No 16S rRNA genes
NZ_OU953854.1	No 16S rRNA genes
NZ_CP098499.1	No 16S rRNA genes
NZ_CP098498.1	No 16S rRNA genes
NZ_CP098497.1	No 16S rRNA genes
NZ_CP097460.1	No 16S rRNA genes
NZ_CP025699.1	No 16S rRNA genes
NZ_CP096248.1	No 16S rRNA genes
NZ_CP094618.1	No 16S rRNA genes
NZ_CP094300.1	No 16S rRNA genes
NZ_CP093555.1	No 16S rRNA genes
NZ_CP093556.1	No 16S rRNA genes
NZ_CP092967.1	No 16S rRNA genes
NZ_CP092965.1	No 16S rRNA genes
NZ_CP092966.1	No 16S rRNA genes
NZ_CP091467.1	No 16S rRNA genes
NZ_CP058974.1	No 16S rRNA genes
NZ_CP090310.1	No 16S rRNA genes
NZ_CP091297.1	No 16S rRNA genes
NZ_CP091822.1	No 16S rRNA genes
NZ_CP091823.1	No 16S rRNA genes
NZ_CP091824.1	No 16S rRNA genes
NZ_CP091825.1	No 16S rRNA genes
NZ_CP091826.1	No 16S rRNA genes
NZ_CP091827.1	No 16S rRNA genes
NZ_CP091828.1	No 16S rRNA genes
NZ_CP091829.1	No 16S rRNA genes
NZ_CP091830.1	No 16S rRNA genes
NZ_CP091831.1	No 16S rRNA genes
NZ_CP091832.1	No 16S rRNA genes
NZ_CP091150.1	No 16S rRNA genes
NZ_CP091151.1	No 16S rRNA genes
NZ_CP091153.1	No 16S rRNA genes
NZ_CP091152.1	No 16S rRNA genes
NZ_CP091154.1	No 16S rRNA genes
NZ_CP091155.1	No 16S rRNA genes
NZ_CP091157.1	No 16S rRNA genes
