seqID	reason
GCF_002850375.1:NZ_CP020618.1:2248339-2249757:plus	3'-trunc
GCF_023573165.1:NZ_CP097585.1:1375632-1377053:minus	5'-trunc
GCF_000968715.2:NZ_CP022134.1:3665996-1050:plus	5'-trunc
GCF_019464555.1:NZ_CP080509.1:2776534-2777911:minus	5' trunc
GCF_000404245.1:NC_021350.1:359857-360850:plus	it is 3'-truncated, but the pipeline spuriously recognizes it as a pivotal gene
GCF_030863885.1:NZ_CP132956.1:4538531-4539923:plus	3'-trunc
GCF_030863885.1:NZ_CP132956.1:4463344-4463557:plus	from the same genome as GCF_030863885.1:NZ_CP132956.1:4538531-4539923:plus
GCF_030520185.1:NZ_CP130465.1:9181-10432:minus	5'-trunc
GCF_030520185.1:NZ_CP130465.1:3415-3920:minus	from the same genome as GCF_030520185.1:NZ_CP130465.1:9181-10432:minus
GCF_000017705.1:NC_009783.1:1-1384:minus	too short
GCF_051842875.1:NZ_JBPXRO010000105.1:1-744:minus	too short
GCF_001695715.1:NZ_CP016638.1:1-149:plus	too short
GCF_001695735.1:NZ_CP016636.1:1-147:plus	too short
GCF_003019255.1:NZ_CP027846.1:1-915:minus	too short
GCF_015582655.1:NZ_CP058255.1:370872-371041:plus	too short
GCF_024266665.1:NZ_CP100753.1:1-1111:plus	too short
GCF_025960205.1:NZ_CP110102.1:1-1111:plus	too short
GCF_030704285.1:NZ_CP131931.1:1-912:plus	too short
GCF_037915445.1:NZ_CP149660.1:1-1278:minus	too short
GCF_037918925.1:NZ_CP149681.1:1-885:plus	too short
GCF_037919185.1:NZ_CP149686.1:1-1277:plus	too short
GCF_037920325.1:NZ_CP149695.1:1-867:plus	too short
GCF_037922655.1:NZ_CP149708.1:1-867:plus	too short
GCF_038049945.1:NZ_CP150875.1:1-1366:plus	too short
GCF_041014235.1:NZ_CP160191.1:1-1084:plus	too short
GCF_047129405.1:NZ_CP132400.1:1-1337:minus	too short
GCF_049942725.1:NZ_CP187836.1:1-1189:plus	too short
GCF_049942725.1:NZ_CP187835.1:1-1189:plus	too short
