accession_without_version	reject_reason
GCF_004328905.1	5S, 16S, and 23S from Ligilactobacillus saerimneri -- that is all the plasmid
GCF_019264725.1	NZ_CP078512 is not a Stutzerimonas stutzeri plasmid -- it is a Bacillus chromosome part! Extremely poor assembly quality.
GCF_023518235.1	NZ_CP090427 is a plasmid of 3 pairs of (16S+23S) ribosomal RNA genes
GCF_025914115.1	No 16S rRNA genes
GCF_025916195.1	No 16S rRNA genes
GCF_025908335.1	No 16S rRNA genes
GCF_025758265.1	No 16S rRNA genes
GCF_025758285.1	No 16S rRNA genes
GCF_025758435.1	No 16S rRNA genes
GCF_025758455.1	No 16S rRNA genes
GCF_025758475.1	No 16S rRNA genes
GCF_025758495.1	No 16S rRNA genes
GCF_025758515.1	No 16S rRNA genes
GCF_025758535.1	No 16S rRNA genes
GCF_025758555.1	No 16S rRNA genes
GCF_025758575.1	No 16S rRNA genes
GCF_025758595.1	No 16S rRNA genes
GCF_025758615.1	No 16S rRNA genes
GCF_025758635.1	No 16S rRNA genes
GCF_025758655.1	No 16S rRNA genes
GCF_024972895.1	No 16S rRNA genes
GCF_024732245.1	No 16S rRNA genes
GCF_024664295.1	No 16S rRNA genes
GCF_024664315.1	No 16S rRNA genes
GCF_024664335.1	No 16S rRNA genes
GCF_024664355.1	No 16S rRNA genes
GCF_905132965.1	No 16S rRNA genes
GCF_905132985.1	No 16S rRNA genes
GCF_905132905.1	No 16S rRNA genes
GCF_905132845.1	No 16S rRNA genes
GCF_905132925.1	No 16S rRNA genes
GCF_905132975.1	No 16S rRNA genes
GCF_905132955.1	No 16S rRNA genes
GCF_905132935.1	No 16S rRNA genes
GCF_905132895.1	No 16S rRNA genes
GCF_905132945.1	No 16S rRNA genes
GCF_905132775.1	No 16S rRNA genes
GCF_905132995.1	No 16S rRNA genes
GCF_905132875.1	No 16S rRNA genes
GCF_905132915.1	No 16S rRNA genes
GCF_905132865.1	No 16S rRNA genes
GCF_905132855.1	No 16S rRNA genes
GCF_024167825.1	No 16S rRNA genes
GCF_918315375.1	No 16S rRNA genes
GCF_918697755.1	No 16S rRNA genes
GCF_023704255.1	No 16S rRNA genes
GCF_023546945.1	No 16S rRNA genes
GCF_023278595.1	No 16S rRNA genes
GCF_023204895.1	No 16S rRNA genes
GCF_022816825.1	No 16S rRNA genes
GCF_022760235.1	No 16S rRNA genes
GCF_022691205.1	No 16S rRNA genes
GCF_022691225.1	No 16S rRNA genes
GCF_022559605.1	No 16S rRNA genes
GCF_022557115.1	No 16S rRNA genes
GCF_022557135.1	No 16S rRNA genes
GCF_014489865.2	No 16S rRNA genes
GCF_022368695.1	No 16S rRNA genes
GCF_022028875.1	No 16S rRNA genes
GCF_022028895.1	No 16S rRNA genes
GCF_022028915.1	No 16S rRNA genes
GCF_022028935.1	No 16S rRNA genes
GCF_022028955.1	No 16S rRNA genes
GCF_022028975.1	No 16S rRNA genes
GCF_022028995.1	No 16S rRNA genes
GCF_022029015.1	No 16S rRNA genes
GCF_022029035.1	No 16S rRNA genes
GCF_022029055.1	No 16S rRNA genes
GCF_022029075.1	No 16S rRNA genes
GCF_022029095.1	No 16S rRNA genes
GCF_022029115.1	No 16S rRNA genes
GCF_022029235.1	No 16S rRNA genes
GCF_022029355.1	No 16S rRNA genes
GCF_022029475.1	No 16S rRNA genes
GCF_022029595.1	No 16S rRNA genes
GCF_022029735.1	No 16S rRNA genes
GCF_022029835.1	No 16S rRNA genes
GCF_022029855.1	No 16S rRNA genes
GCF_022029875.1	No 16S rRNA genes
GCF_022029895.1	No 16S rRNA genes
GCF_022029915.1	No 16S rRNA genes
GCF_022029935.1	No 16S rRNA genes
GCF_022029955.1	No 16S rRNA genes
GCF_022029975.1	No 16S rRNA genes
GCF_022029995.1	No 16S rRNA genes
GCF_022030015.1	No 16S rRNA genes
GCF_022030035.1	No 16S rRNA genes
GCF_022030055.1	No 16S rRNA genes
GCF_022030995.1	No 16S rRNA genes
GCF_022031015.1	No 16S rRNA genes
GCF_022031035.1	No 16S rRNA genes
GCF_022031055.1	No 16S rRNA genes
GCF_022031075.1	No 16S rRNA genes
GCF_022031095.1	No 16S rRNA genes
GCF_021496645.1	No 16S rRNA genes
GCF_021398525.1	No 16S rRNA genes
GCF_021401445.1	No 16S rRNA genes
GCF_021383765.1	No 16S rRNA genes
GCF_021383805.1	No 16S rRNA genes
GCF_021383885.1	No 16S rRNA genes
GCF_021383905.1	No 16S rRNA genes
GCF_021165895.1	No 16S rRNA genes
GCF_918593735.1	No 16S rRNA genes
GCF_918593725.1	No 16S rRNA genes
GCF_018595795.2	No 16S rRNA genes
GCF_020172665.2	No 16S rRNA genes
GCF_020172685.2	No 16S rRNA genes
GCF_019968625.1	No 16S rRNA genes
GCF_019856635.1	No 16S rRNA genes
GCF_019856655.1	No 16S rRNA genes
GCF_019856675.1	No 16S rRNA genes
GCF_019797965.1	No 16S rRNA genes
GCF_019405465.1	No 16S rRNA genes
GCF_019382495.1	No 16S rRNA genes
GCF_902509465.1	No 16S rRNA genes
GCF_019107585.1	No 16S rRNA genes
GCF_018868045.1	No 16S rRNA genes
GCF_905400215.1	No 16S rRNA genes
GCF_905400295.1	No 16S rRNA genes
