ass_id	seqID	seqtech	contains_NNN	degenerate_in_16S	unlocalized_16S	category
10601601	NZ_CP063063.1:372608-374156_plus	ILLUMINA MISEQ	1	0	0	3
10613051	NZ_CP066836.1:2159197-2160738_minus	ILLUMINA MISEQ; OXFORD NANOPORE MINION. ILLUMINA MISEQ; OXFORD NANOPORE MINION. ILLUMINA MISEQ; OXFORD NANOPORE MINION	0	0	0	1
10613051	NZ_CP066836.1:2975089-2976630_minus	ILLUMINA MISEQ; OXFORD NANOPORE MINION. ILLUMINA MISEQ; OXFORD NANOPORE MINION. ILLUMINA MISEQ; OXFORD NANOPORE MINION	0	0	0	1
10613051	NZ_CP066836.1:3016181-3017722_minus	ILLUMINA MISEQ; OXFORD NANOPORE MINION. ILLUMINA MISEQ; OXFORD NANOPORE MINION. ILLUMINA MISEQ; OXFORD NANOPORE MINION	0	0	0	1
10613051	NZ_CP066836.1:3150038-3151579_minus	ILLUMINA MISEQ; OXFORD NANOPORE MINION. ILLUMINA MISEQ; OXFORD NANOPORE MINION. ILLUMINA MISEQ; OXFORD NANOPORE MINION	0	0	0	1
10613051	NZ_CP066836.1:3243611-3245152_minus	ILLUMINA MISEQ; OXFORD NANOPORE MINION. ILLUMINA MISEQ; OXFORD NANOPORE MINION. ILLUMINA MISEQ; OXFORD NANOPORE MINION	0	0	0	1
10613051	NZ_CP066836.1:3797366-3798907_plus	ILLUMINA MISEQ; OXFORD NANOPORE MINION. ILLUMINA MISEQ; OXFORD NANOPORE MINION. ILLUMINA MISEQ; OXFORD NANOPORE MINION	0	0	0	1
10613051	NZ_CP066836.1:4599904-4601445_plus	ILLUMINA MISEQ; OXFORD NANOPORE MINION. ILLUMINA MISEQ; OXFORD NANOPORE MINION. ILLUMINA MISEQ; OXFORD NANOPORE MINION	0	0	0	1
10601591	NZ_CP063062.1:373574-375122_plus	ILLUMINA MISEQ	0	0	0	2
10601591	NZ_CP063062.1:399242-400790_plus	ILLUMINA MISEQ	0	0	0	2
